meeting_date,item,resolution,title,result,adopted,mover,seconder,Hubbard,Kern,Merrifield,Rothwell,Waski
"January 7, 2025",60,2025-60,Approves a Salary Increase for a Network and Systems Specialist II,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",61,2025-61,Approves a Salary Increase for a Maintenance Mechanic II,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",62,2025-62,Approves a Salary Increase for a Maintenance Mechanic III,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",63,2025-63,Approves Salary Increase for Deputy Tax Receiver Lisa Richards,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",64,2025-64,Approves Salary Increase for Chief of Staff,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",65,2025-65,Approves Salary Increase for Deputy Town Attorney- Prudenti,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",66,2025-66,Approves Salary Increase for Deputy Town Attorney- Hurley,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",67,2025-67,Approves Salary Increase for Town Attorney- Howard,ADOPTED [4 TO 0],True,Denise Merrifield,Joann Waski,abstain,aye,aye,aye,aye
"January 7, 2025",68,2025-68,Approves Salary Increase for Town Engineer Drew Dillingham,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",69,2025-69,Approves a Stipend for a Spanish Speaking Justice Court Clerk,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",70,2025-70,Approves the Continuation of a Stipend for Two IT Employees,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",71,2025-71,Renews a Stipend for the Oversight of the Department of Economic Development and Planning and the Town’s Planning and Building Department,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",72,2025-72,Ratifies and Accepts the Resignation of a Public Safety Dispatcher,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",73,2025-73,Authorizes the Community Development Department to Apply for the NYS ADU Plus One Program,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",74,2025-74,"Authorizes the Release of Security for East End Disability Associates, Inc",ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",75,2025-75,Authorizes Supervisor to Execute Agreement with Seed Clam Administrator,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",76,2025-76,Authorizes the Supervisor to Execute a 2025 Musical Works License Agreement with SESAC,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",77,2025-77,"Authorizes the Supervisor to Execute a Stipulation with Local 1000, Afscme, AFL-CIO, Riverhead Unit of the Suffolk Local #852",ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",78,2025-78,Authorizes Execution of a License Agreement with Research Foundation of State University of New York for Installation of Fish Passage Camera at Grangebel Park,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",79,2025-79,Authorizes the Chief of Police to Execute an Agreement with County of Suffolk,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",80,2025-80,"Authorizes the Supervisor to Issue a Letter to the Suffolk County Department of Health Services Allowing the Use of Pine Barrens Credits Originated from Property Located in Riverhead (Expressway Plaza 1 Llc & Farmingville Associates Phase 1, LLC)",ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",81,2025-81,Adopts 2025 Investment Policy,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",82,2025-82,"Adopts a Local Law Amending Chapter 103 of the Riverhead Town Code Titled, “Town Officers and Employees, Article VI. Term Limits” for Town Justices",ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",83,2025-83,Negative Declaration for a Unlisted Action (Type 1 Review) Under SEQRA For Clean Water State Revolving Fund Loan to Fund Updates to the Riverhead Water Resource Recovery Facility To Produce Class a Biosolids,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",84,2025-84,Pays Bills,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",85,2024-925,Awards Re-Bid for Meetinghouse Creek Stormwater Wetland and Habitat Restoration Project,NOT ADOPTED [0 TO 5],False,Kenneth Rothwell,Robert Kern,nay,nay,nay,nay,nay
"January 7, 2025",86,2025-85,Ratifies the Provisional Appointment of a Senior Wastewater Treatment Plant Operator 2A,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",87,2025-86,Resolution Setting Fees for Taxicabs and Vehicles for Hire Pursuant to Chapter 281 of the Riverhead Town Code,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",88,2025-87,Rejects All Bids and Authorizes Town Clerk to Publish and Post Notice to Bidders for Re-Bid #2 for Meetinghouse Creek Stormwater Wetland and Habitat Restoration Project,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",89,2025-88,"Ratifies Authorization for the Town Attorney's Office to Execute Settlement of Legal Action Against Island Water Park Corp., D/B/A Scott’s Pointe",ADOPTED [4 TO 1],True,Joann Waski,Kenneth Rothwell,aye,aye,nay,aye,aye
"January 7, 2025",90,2024-1009,"Schedules Public Hearing for the Site Plan Amendment Application of Island Water Park 5835 Middle Country Road, Calverton, NY SCTM No. 600-135-1-7.34",ADOPTED [4 TO 1],True,Joann Waski,Kenneth Rothwell,aye,aye,nay,aye,aye
