title,hr_min,hr_max,ann_min,ann_max,source
Supervisor,,,110000,110000,2026 organizational meeting (Jan 6, 2026)
Town Clerk,,,96085,96085,2026 organizational meeting (Jan 6, 2026)
Superintendent Of Highways,,,107967,107967,2026 organizational meeting (Jan 6, 2026)
Town Justice,,,96872,96872,2026 organizational meeting (Jan 6, 2026)
Member of Board Of Assessors,,,96085,110663,2026 organizational meeting (Jan 6, 2026)
Town Tax Receiver,,,96085,96085,2026 organizational meeting (Jan 6, 2026)
Council Member,,,50558,50558,2026 organizational meeting (Jan 6, 2026)
